Final results - performance measures
Prsp.	Idx	Idx	ACC	PPV	TPR	F1	MCC	FPR	TP	FP	TN	FN	N
1	Class 1	0.5446428571428571	0.7635467980295566	0.5961538461538461	0.6695464362850972	-0.030306147349005177	0.631578947368421	155	48	28	105	336	
1	Class 1/1	0.46923076923076923	0.8244274809160306	0.484304932735426	0.6101694915254238	-0.09595025059513479	0.6216216216216216	108	23	14	115	260	
1	Class 1/1/1	0.559322033898305	0.5454545454545454	0.0759493670886076	0.13333333333333333	0.05133107256020766	0.05102040816326531	6	5	93	73	177	
1	Class 1/1/2	0.480225988700565	0.5517241379310345	0.32653061224489793	0.41025641025641024	-0.0027359990023945345	0.3291139240506329	32	26	53	66	177	
1	Class 1/1/3	1.0	0	0	0	0	0.0	0	0	177	0	177	
1	Class 1/2	0.7730769230769231	0.041666666666666664	0.02702702702702703	0.03278688524590164	-0.09186386801334435	0.1031390134529148	1	23	200	36	260	
1	Class 1/2/1	0.24324324324324326	0.0	0.0	0.0	-0.27386127875258304	0.1	0	1	9	27	37	
1	Class 1/2/2	0.7297297297297297	0	0.0	0.0	0	0.0	0	0	27	10	37	
1	Class 2	0.5535714285714286	0.2109375	0.35526315789473684	0.2647058823529412	-0.028600506013952386	0.38846153846153847	27	101	159	49	336	
1	Class 2/1	0.4482758620689655	0.9090909090909091	0.4	0.5555555555555556	0.10660035817780521	0.25	20	2	6	30	58	
1	Class 2/1/1	0.7105263157894737	0.4	0.2	0.26666666666666666	0.12096294735180119	0.10714285714285714	2	3	25	8	38	
1	Class 2/1/2	0.6578947368421053	0	0.0	0.0	0	0.0	0	0	25	13	38	
1	Class 2/1/3	0.6842105263157895	0.0	0.0	0.0	-0.10493336462255945	0.037037037037037035	0	1	26	11	38	
1	Class 2/1/4	1.0	0	0	0	0	0.0	0	0	38	0	38	
1	Class 2/1/5	0.8421052631578947	0.0	0.0	0.0	-0.08084520834544431	0.1111111111111111	0	4	32	2	38	
1	Class 2/1/6	0.9473684210526315	0	0.0	0.0	0	0.0	0	0	36	2	38	
1	Class 2/2	0.8620689655172413	0	0.0	0.0	0	0.0	0	0	50	8	58	
1	Class 2/3	1.0	0	0	0	0	0.0	0	0	58	0	58	
2	Level 1	0.8125	0.3774193548387097	0.38741721854304634	0.38235294117647056	0.27188117645875864	0.11260210035005834	351	579	4563	555	6048	
2	Level 2	0.8429638364779874	0.2980599647266314	0.2964912280701754	0.297273526824978	0.20888040720459694	0.0880920761398849	169	398	4120	401	5088	
2	Level 3	0.8647186147186147	0.19704433497536947	0.15873015873015872	0.17582417582417584	0.10378110127819098	0.06468253968253969	40	163	2357	212	2772	
3	Total	Total	0.533068783068783	0.41073512252042005	0.38852097130242824	0.39931934203062963	0.017923323491483997	0.3707782672540382	352	505	857	554	336	
